"","Kingdom","Phylum","Class","Order","Family","Genus","Species","freqs"
"6ed87a48ff428fcd7bbd88f672ddf95f","d__Eukaryota","Retaria","uncultured","uncultured",NA,NA,NA,0.000149424714847836
"c23be87174a03fc15d3defa6bf2a5bb5","d__Eukaryota","Vertebrata","Mammalia","Mammalia",NA,NA,NA,0.000146220717971925
"178d056cc9749509b00750bed7ae3bac","d__Eukaryota","Mollusca","Polyplacophora","Neoloricata",NA,NA,NA,0.000143657520471197
"04200e73e062cc4b169693e04ea12860","d__Eukaryota","Aphelidea","Aphelidea","Aphelidea",NA,NA,NA,0.000127695573752175
"ba8c6f6900090e78b0f2dde6705f6729","d__Eukaryota","Orthonectida","Orthonectida","Rhopaluridae",NA,NA,NA,0.000120500593895784
"9f34e63c98be48f21ffcef1f5a764051","d__Eukaryota","Cercozoa","Thecofilosea","Cryomonadida",NA,NA,NA,0.000111733627033153
"6d9dd1509cf49bffd3baeaa84db210c2","d__Eukaryota","Cercozoa","Granofilosea","Granofilosea",NA,NA,NA,0.000111733627033153
"116095072f33b2993747e31df8675911","d__Eukaryota","Cercozoa","uncultured","uncultured",NA,NA,NA,0.00010911868475612
"b0369a473062d7a5832e5a0ca7db25bd","d__Eukaryota","Echinodermata","Holothuroidea","Holothuroidea",NA,NA,NA,0.000106252112117262
"3f31c2b72d6e0b02a9d6f2e904e8894b","d__Eukaryota","Gastrotricha","Gastrotricha","Macrodasyida",NA,NA,NA,9.1669531339521e-05
"1e6d45af49ab38054ae7e48986127f5e","d__Eukaryota","Holozoa","Choanoflagellida","Codonosigidae",NA,NA,NA,8.44067052686665e-05
"b73e76431b20342696d6dc9ee13bb31d","d__Eukaryota","Chlorophyta","Palmophyllophyceae","Palmophyllales",NA,NA,NA,8.21652178199924e-05
"d46f461f12e7e00ee7798cd86541c230","d__Eukaryota","Rhodellophyceae","Rhodellophyceae","Rhodellophyceae",NA,NA,NA,7.98097335951093e-05
"4699f3de3f68968473451cf927e832d1","d__Eukaryota","Chytridiomycota","Chytridiomycetes","Lobulomycetales",NA,NA,NA,7.98097335951093e-05
"e1aab8032c55cb8671f242dbb7ab6a42","d__Eukaryota","Cnidaria","Cubozoa","Carybdeida",NA,NA,NA,7.7582528414601e-05
"c274ecc43efda3f0d8a8ab52bac98fb6","d__Eukaryota","Tardigrada","Heterotardigrada","Echiniscoidea",NA,NA,NA,7.3857061966075e-05
"376de5813ecbf030e66b321936e7e8db","d__Eukaryota","Amoebozoa","Discosea","Stygamoebida",NA,NA,NA,7.27603456116417e-05
"0f5d5f3dc9c38e41b9df588a54bf008c","d__Eukaryota","Basidiomycota","Malasseziomycetes","Malasseziales",NA,NA,NA,6.75253642149332e-05
"3b0f5dda95c34459d29e0ed73a250e84","d__Eukaryota","MAST-3","MAST-3L","MAST-3L",NA,NA,NA,6.64109843768159e-05
"02a5a54e69029837e6feb0645419b85a","d__Eukaryota","Fornicata","Carpediomonas-like_organisms","Carpediomonas-like_organisms",NA,NA,NA,6.38477868760874e-05
"ebf50979272b93f92d3dc854c14526f0","d__Eukaryota","Ancyromonadida","Ancyromonadida","Ancyromonadida",NA,NA,NA,5.45593423780599e-05
"e49ebf2cbe8a9f6b2968054c62f1eb34","d__Eukaryota","Euglenozoa","Euglenida","Heteronematina",NA,NA,NA,4.78858401570656e-05
"4cd044d195cc3bdb24a06cfd368967c2","d__Eukaryota","Euglenozoa","Kinetoplastea","Trypanosomatida",NA,NA,NA,4.78858401570656e-05
"2c23a57a4027ea15f7926dc0336c70a6","d__Eukaryota","Rotifera","Monogononta","Ploimida",NA,NA,NA,3.9520224474875e-05
"0fcf893af76103c893c9d7b77da4d925","d__Eukaryota","Cercozoa","Ascetosporea","Haplosporida",NA,NA,NA,3.19238934380437e-05
