"","Kingdom","Phylum","Class","Order","Family","Genus","Species","freqs"
"8e82d75881fb816e3a033ab0b6775422","d__Eukaryota","Mollusca","Mollusca","Mollusca",NA,NA,NA,0.011092749574224
"6a0b36b92327bf6027f516fcb026da6a","d__Eukaryota","Annelida","Polychaeta","Spionida",NA,NA,NA,0.010913475958622
"859872b8214730c237819d317a3255c7","d__Eukaryota","Mollusca","Bivalvia","Pterioida",NA,NA,NA,0.0107763819376499
"2074f0fd02b2f64496e22d1af0016a6f","d__Eukaryota","Labyrinthulomycetes","Labyrinthulomycetes","Labyrinthulomycetes",NA,NA,NA,0.0101488406922376
"b0bf3145c32f8fe9fcb84ce86d726cc9","d__Eukaryota","Porifera","Demospongiae","Lithistida",NA,NA,NA,0.0101413531263742
"3c0655b56399f9050e17c7e83c78d4ce","d__Eukaryota","Retaria","Acantharia","Acantharea_Group_II",NA,NA,NA,0.0101149562306472
"fbb44b044bba9b183743a916dff62b6f","d__Eukaryota","Peronosporomycetes","Peronosporomycetes","Peronosporomycetes",NA,NA,NA,0.0100349721445495
"c98614ce55d51674ee03220937ca1aaa","d__Eukaryota","Retaria","Polycystinea","Collodaria",NA,NA,NA,0.0100304409671283
"d59dce0e76f9cd01c7f4c61b0e3e7b3c","d__Eukaryota","Arthropoda","Arachnida","Opiliones",NA,NA,NA,0.00910049276976012
"b5117a32135933281eedfeb43b63c6fb","d__Eukaryota","Ochrophyta","Raphidophyceae","Raphidophyceae",NA,NA,NA,0.00899891084730598
"480a0a9fd6e747476ecfa60023a1f784","d__Eukaryota","MAST-3","MAST-3F","MAST-3F",NA,NA,NA,0.00874789539781592
"a1fda4daf23708a5a7b692ede55fe489","d__Eukaryota","MAST-11","MAST-11","MAST-11",NA,NA,NA,0.0081906679668273
"77cb7cb76e4a4e431f25d21816332e54","d__Eukaryota","Dinoflagellata","Dinophyceae","Prorocentrales",NA,NA,NA,0.00815901773141332
"ca6d2ddfd5cddf109c33651d9487dc7a","d__Eukaryota","Kathablepharidae","Kathablepharidae","Kathablepharidae",NA,NA,NA,0.00811038734080988
"e488cb3a38bdce690be27c100d3005c5","d__Eukaryota","Porifera","Demospongiae","Halichondrida",NA,NA,NA,0.00794027998959367
"9c1c30a7c368258f0f80204e5e368d43","d__Eukaryota","Diatomea","Coscinodiscophytina","Coscinodiscophytina",NA,NA,NA,0.00789623394154928
"c1bf27ed60065a2f06bba698f190da8c","d__Eukaryota","Ochrophyta","Chrysophyceae","uncultured",NA,NA,NA,0.00741920210428447
"e5ac02c4711422fa1118c9e4c5d50a89","d__Eukaryota","Entoprocta","Entoprocta","Coloniales",NA,NA,NA,0.00722022919976993
"e8f619444c6a662a38c944633ea74177","d__Eukaryota","Arthropoda","Pycnogonida","Pantopoda",NA,NA,NA,0.00719398418065026
"f9a980f05b1a0eaee3a20c8b9a98e71b","d__Eukaryota","MAST-7","MAST-7D","MAST-7D",NA,NA,NA,0.00713427289738319
"76af8f580eb7ddbb90c9107698e0e7ea","d__Eukaryota","MAST-3","MAST-3E","MAST-3E",NA,NA,NA,0.00708774281091888
"1ebe9acf33f39878128abf4f8a1aa196","d__Eukaryota","MAST-3","MAST-3I","MAST-3I",NA,NA,NA,0.00696770688045685
"50098e9c252287d0532a991db17a4a50","d__Eukaryota","Mollusca","Gastropoda","Vetigastropoda",NA,NA,NA,0.00695151417658081
"eceb7dae6021eb4a9558ff4e4301e8e8","d__Eukaryota","Dinoflagellata","Dinophyceae","Dinophysiales",NA,NA,NA,0.00694538517157429
"36943983845746110de25967748d9a02","d__Eukaryota","Chlorophyta","Clade_IX","Clade_IX",NA,NA,NA,0.00687291863064721
"5f4b5b617625b2f8fba395e2cf6d630e","d__Eukaryota","Cnidaria","Anthozoa","Corallimorpharia",NA,NA,NA,0.00665746422202032
"d05fc11b1e134dea2eb5f565487a1f3b","d__Eukaryota","Mollusca","Bivalvia","Veneroida",NA,NA,NA,0.00657121724166426
"1dc2b378ba4be62d2712f20fb2cbbec6","d__Eukaryota","Ochrophyta","MOCH-2","MOCH-2",NA,NA,NA,0.00627455515801927
"4ef7109fd365b876b8a395a5c70bbd70","d__Eukaryota","Porifera","Demospongiae","Verongiida",NA,NA,NA,0.00584775726875469
"d5e175ac1142c5b10a1273d4b55b894f","d__Eukaryota","MAST-3","MAST-3B","MAST-3B",NA,NA,NA,0.00564964966671196
"6e4586fe36072b45ef84b3622919693c","d__Eukaryota","Annelida","Polychaeta","Sabellida",NA,NA,NA,0.00533274976982995
"4ff2d73312972677bb67e2532e658530","d__Eukaryota","Porifera","Demospongiae","Axinellida",NA,NA,NA,0.00508006077921081
"9b969abf939313c03a6140274cab5fdf","d__Eukaryota","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA,0.00477663346540649
"c467512296798f908c0755b2fd896394","d__Eukaryota","Tunicata","Appendicularia","Copelata",NA,NA,NA,0.00476542959441642
"959a62620cd490b55ae690c106cb1651","d__Eukaryota","MAST-3","MAST-3A","MAST-3A",NA,NA,NA,0.00456594692814493
"e4993b9cd268b20e0968ae97517c05e1","d__Eukaryota","Retaria","Acantharia","uncultured",NA,NA,NA,0.00404656640585854
"57532b0fe2756ad8a79578e158ffea21","d__Eukaryota","Holozoa","Ichthyosporea","Abeoformidae",NA,NA,NA,0.00404265270924963
"62454a45429480bc6b5123811e8761ef","d__Eukaryota","Chlorophyta","Chlorophyceae","Chlorophyceae",NA,NA,NA,0.00390863549620758
"42cf3999ac1aa41e0d8f7d156117154d","d__Eukaryota","Retaria","RAD_C","RAD_C",NA,NA,NA,0.00388541008258355
"02d8c17e0e68f0097efa4c4db9ed1afb","d__Eukaryota","Prymnesiophyceae","Coccolithales","Coccolithales",NA,NA,NA,0.00384528041299124
"db4183ba8ead3716c53e15df0c650b29","d__Eukaryota","MAST-3","MAST-3C","MAST-3C",NA,NA,NA,0.00373633385836343
"7673420c285a7f5be94db75d87b0cd9c","d__Eukaryota","MAST-2","MAST-2","MAST-2",NA,NA,NA,0.00368342596335973
"ed70394dca8d041e809e8e547f8ef6ee","d__Eukaryota","Porifera","Demospongiae","Clionaida",NA,NA,NA,0.00357845793220089
"e6b5912f517cb892b37272eb75650705","d__Eukaryota","Nemertea","Enopla","Monostilifera",NA,NA,NA,0.00351898607503952
"6d63fc23d7d2aeae401cf6892bb74414","d__Eukaryota","Dinoflagellata","Dinoflagellata","Dinoflagellata",NA,NA,NA,0.00349090242050865
"1923bbc29023eb33575882d0199aeff0","d__Eukaryota","Chlorophyta","Prasinophytae","Prasinophytae",NA,NA,NA,0.00346374243802774
"ace8d546eca2430aac8584abfe47bf3e","d__Eukaryota","Cryptophyceae","Cryptophyceae","Cryptomonadales",NA,NA,NA,0.00344778049130872
"fdf3b8e2c404f26e83e0e9c25fa0e192","d__Eukaryota","Florideophycidae","Nemaliophycidae","Nemaliophycidae",NA,NA,NA,0.00342632289301056
"a82af6c4de05d4b6b08345e9e7be6444","d__Eukaryota","Annelida","Polychaeta","Opheliidae",NA,NA,NA,0.00337677283757541
"d1d2e45c304450ebb5db4df4068e7293","d__Eukaryota","Nematozoa","Chromadorea","Chromadorida",NA,NA,NA,0.00322583261000143
"6b4cb700d8511afd4c33a735bb0dd376","d__Eukaryota","Labyrinthulomycetes","uncultured","uncultured",NA,NA,NA,0.0030970394198192
"8c4a51415bd480389ffca32040c39995","d__Eukaryota","Alveolata","Alveolata","Alveolata",NA,NA,NA,0.00302263998079118
"6bbcfceed4244672505b549aa1543dbf","d__Eukaryota","MAST-3","MAST-3K","MAST-3K",NA,NA,NA,0.00286352338902187
"a32ef407235a809fa7455ad4a55b2115","d__Eukaryota","Nematozoa","Enoplea","Enoplida",NA,NA,NA,0.00282435924944536
"d5e664e719d14bf6452dc073efe0bfcb","d__Eukaryota","Phragmoplastophyta","Embryophyta","Magnoliophyta",NA,NA,NA,0.00272690433037364
"0f772590547bd4f35b3ef2677eb94a15","d__Eukaryota","Euglenozoa","Kinetoplastea","Incertae_Sedis",NA,NA,NA,0.00267988565720108
"25277174dddec17b8114ffceee020318","d__Eukaryota","MAST-4","MAST-4D","MAST-4D",NA,NA,NA,0.00264097225039779
"3691169e567ee36c9cdbedd2ecf58900","d__Eukaryota","MAST-7","MAST-7","MAST-7",NA,NA,NA,0.00262090708751714
"9cd3f5fee33209e8c37a4233c55c2302","d__Eukaryota","Ochrophyta","Chrysophyceae","Chromulinales",NA,NA,NA,0.00260364790885428
"f7a9c249d3610c2dae93289bbba862e8","d__Eukaryota","Apicomplexa","Conoidasida","Gregarinasina",NA,NA,NA,0.00258978045524706
"a34177c278eb118bb9f036002c835347","d__Eukaryota","Haptophyta","Haptophyta","Haptophyta",NA,NA,NA,0.00258503239193514
"e000560a9afebd66d9f6831aa76017bd","d__Eukaryota","Ochrophyta","Dictyochophyceae","Dictyochophyceae",NA,NA,NA,0.00254097265689587
"5e760c83b06381b0844808e19a71bfda","d__Eukaryota","Retaria","Acantharia","Chaunocanthida",NA,NA,NA,0.00242263980268967
"f7e4ec4d5489476a1b1be7d70d725fff","d__Eukaryota","MAST-3","MAST-3D","MAST-3D",NA,NA,NA,0.00239446176040816
"d9201550e824aa830b80fa060c872309","d__Eukaryota","Ochrophyta","Ochrophyta","Ochrophyta",NA,NA,NA,0.00236986255819225
"a5ad478ee965da1ecc1fec0a69097a4a","d__Eukaryota","Arthropoda","Maxillopoda","Poecilostomatoida",NA,NA,NA,0.00235621258289161
"12b079cd5a21617cf6404174e061c871","d__Eukaryota","Protalveolata","Perkinsidae","Perkinsidae",NA,NA,NA,0.00234447782535975
"6338721134bcb5c975f8e8ea8f58b09d","d__Eukaryota","Mollusca","Bivalvia","Ostreoida",NA,NA,NA,0.00232227308901046
"7871161e1c6a68c954e10fbecd5b8c4f","d__Eukaryota","Retaria","Polycystinea","Nassellaria",NA,NA,NA,0.00220761026954566
"8341faf0f03f0cf76003d5d6a24b8397","d__Eukaryota","Stramenopiles","uncultured","uncultured",NA,NA,NA,0.00219469892722503
"7a70f9e1eaa604f337af8115cd07317c","d__Eukaryota","Annelida","Polychaeta","Scolecida",NA,NA,NA,0.00218114781595625
"e993718bd4ab217ef857cd531f606862","d__Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellophyceae",NA,NA,NA,0.00215392207302366
